aircraft_tail_number,flight_operating_hours,engine_vibration_hz,oil_pressure_psi,exhaust_gas_temp_c,hydraulic_fluid_level_pct,ambient_temperature_c,maintenance_urgency_flag
REG-FLT-001252,14694,4.46,32.03,541.67,76.14,-18.11,1
REG-FLT-001253,1035,7.14,62.77,530.52,74.52,29.8,0
REG-FLT-001254,9656,1.59,93.37,678.22,66.5,-4.53,0
REG-FLT-001255,13650,2.72,54.53,513.02,64.71,14.18,0
REG-FLT-001256,12407,2.78,66.25,738.58,64.85,-42.87,0
REG-FLT-001257,18493,3.27,48.26,502.04,87.4,4.78,0
REG-FLT-001258,14706,3.94,68.7,650.26,91.0,-8.94,0
REG-FLT-001259,6481,8.77,42.3,611.64,75.01,6.64,1
REG-FLT-001260,1923,5.21,47.08,497.72,81.1,13.3,0
REG-FLT-001261,13837,4.84,84.72,610.23,72.72,5.49,0
REG-FLT-001262,10461,3.06,42.83,632.12,74.42,38.77,0
REG-FLT-001263,5151,1.93,56.32,845.27,79.72,18.71,1
REG-FLT-001264,9014,1.65,33.23,863.35,83.85,-34.03,1
REG-FLT-001265,17819,5.71,61.36,690.0,96.69,-11.95,0
REG-FLT-001266,5656,1.8,82.32,709.94,52.46,42.33,0
REG-FLT-001267,13265,8.51,38.48,864.49,97.65,31.66,1
REG-FLT-001268,1849,4.51,93.73,773.76,67.92,-27.0,0
REG-FLT-001269,2494,6.87,45.1,667.07,56.43,9.29,0
REG-FLT-001270,15106,2.92,35.46,578.3,74.81,34.87,1
REG-FLT-001271,13769,3.2,63.15,674.86,77.29,21.53,0
REG-FLT-001272,15912,7.15,60.68,823.53,60.27,-44.88,1
REG-FLT-001273,14703,5.53,86.48,581.6,50.58,20.15,0
REG-FLT-001274,5064,1.51,78.97,534.53,66.94,30.63,0
REG-FLT-001275,277,8.85,81.85,807.3,79.36,-12.76,1
REG-FLT-001276,9668,8.02,36.2,770.09,60.44,1.69,1
REG-FLT-001277,3347,2.13,78.07,468.9,80.49,-43.81,0
REG-FLT-001278,4469,8.69,40.78,770.79,67.37,-4.64,1
REG-FLT-001279,14332,1.92,42.79,658.69,54.13,36.49,0
REG-FLT-001280,6531,5.06,55.99,576.57,65.97,-5.24,0
REG-FLT-001281,9088,6.99,90.41,468.35,66.16,3.28,0
REG-FLT-001282,15388,3.32,38.6,427.82,91.21,6.05,0
REG-FLT-001283,17415,2.31,60.99,682.02,68.37,25.98,0
REG-FLT-001284,5189,7.41,94.09,503.33,90.32,21.43,0
REG-FLT-001285,6985,6.87,86.78,647.5,92.35,-26.85,0
REG-FLT-001286,10780,2.96,68.22,551.4,73.63,-20.22,0
REG-FLT-001287,5467,3.94,52.89,763.47,64.51,-42.31,0
REG-FLT-001288,9920,3.81,73.32,537.4,66.7,12.16,0
REG-FLT-001289,1267,3.98,61.85,668.25,83.3,15.96,0
REG-FLT-001290,3626,2.69,37.29,467.91,81.6,-42.84,1
REG-FLT-001291,6584,4.25,66.05,629.3,76.04,-37.34,0
REG-FLT-001292,15530,2.6,77.98,593.16,74.43,39.84,0
REG-FLT-001293,12902,8.7,41.98,789.36,65.55,36.81,1
REG-FLT-001294,2775,8.27,34.8,795.27,60.3,-4.37,1
REG-FLT-001295,12027,4.07,42.2,510.28,64.76,-44.2,0
REG-FLT-001296,13059,8.77,75.33,469.62,80.35,30.09,1
REG-FLT-001297,2697,4.48,70.38,794.55,73.31,19.39,0
REG-FLT-001298,578,2.34,35.01,827.45,92.97,38.09,1
REG-FLT-001299,12277,5.61,44.09,770.11,63.49,-8.9,0
REG-FLT-001300,3288,1.3,86.09,711.45,63.22,-36.63,0
REG-FLT-001301,9308,1.59,78.47,512.39,73.57,18.43,0
REG-FLT-001302,18352,8.38,77.39,878.78,86.09,23.93,1
REG-FLT-001303,7421,1.97,91.5,591.12,56.24,-13.15,0
REG-FLT-001304,6620,6.01,82.03,614.75,63.17,33.24,0
REG-FLT-001305,11397,7.49,80.64,671.4,55.27,40.88,0
REG-FLT-001306,8642,2.6,35.18,691.0,78.49,0.33,1
REG-FLT-001307,3291,7.84,36.85,557.37,93.34,6.21,1
REG-FLT-001308,10199,7.08,78.66,734.72,92.88,-4.04,0
REG-FLT-001309,17913,6.32,69.95,668.76,88.95,7.16,0
REG-FLT-001310,3894,5.13,56.39,654.37,65.87,-44.56,0
REG-FLT-001311,18059,6.77,41.38,459.5,78.48,4.03,0
REG-FLT-001312,2647,8.22,75.99,424.48,82.33,-42.87,1
REG-FLT-001313,7627,6.35,93.33,679.74,58.62,-43.02,0
REG-FLT-001314,15453,8.12,75.26,690.52,57.78,-27.88,1
REG-FLT-001315,11644,1.74,59.03,469.86,58.61,-18.02,0
REG-FLT-001316,4761,2.94,69.11,763.25,78.79,40.67,0
REG-FLT-001317,5846,7.39,80.48,879.93,97.21,31.79,1
REG-FLT-001318,5154,1.63,47.36,772.04,69.3,27.82,0
REG-FLT-001319,6613,1.56,53.75,638.44,81.28,-1.74,0
REG-FLT-001320,18347,5.01,56.78,547.54,69.43,-41.14,0
REG-FLT-001321,8508,5.9,61.28,772.75,53.7,23.73,0
REG-FLT-001322,4171,8.69,75.37,656.63,55.47,-5.5,1
REG-FLT-001323,13040,5.25,60.99,615.45,55.98,-11.32,0
REG-FLT-001324,8487,4.88,36.14,843.92,55.78,17.12,1
REG-FLT-001325,15680,5.06,81.46,655.6,56.09,-35.43,0
REG-FLT-001326,12149,3.65,59.41,652.39,80.44,8.6,0
REG-FLT-001327,6510,3.61,35.31,683.18,87.52,-42.2,1
REG-FLT-001328,6399,7.33,47.9,716.9,73.14,-35.22,0
REG-FLT-001329,6082,8.67,70.81,605.23,83.17,0.51,1
REG-FLT-001330,12034,4.16,82.32,799.26,54.24,2.11,0
REG-FLT-001331,15772,4.27,72.23,490.34,79.64,-40.33,0
REG-FLT-001332,2366,6.67,51.26,809.86,83.8,2.36,0
REG-FLT-001333,4683,8.72,89.32,423.0,59.86,-29.72,1
REG-FLT-001334,9653,6.82,49.14,759.02,73.93,8.63,0
REG-FLT-001335,17759,7.83,80.12,670.35,84.48,-35.69,1
REG-FLT-001336,1862,7.33,89.82,796.4,71.97,31.14,0
REG-FLT-001337,18449,5.3,50.86,630.04,89.46,-29.23,0
REG-FLT-001338,11559,7.5,57.57,638.49,67.24,-39.68,0
REG-FLT-001339,7666,4.82,48.15,484.17,87.99,4.39,0
REG-FLT-001340,9295,8.51,61.8,858.14,96.74,34.78,1
REG-FLT-001341,15773,8.83,71.14,748.25,80.44,0.15,1
REG-FLT-001342,1365,8.58,39.63,782.51,75.85,9.93,1
REG-FLT-001343,10257,2.38,79.69,746.87,58.1,-44.67,0
REG-FLT-001344,5225,2.44,74.94,512.98,54.77,-20.57,0
REG-FLT-001345,9039,4.96,56.23,709.37,94.86,-33.46,0
REG-FLT-001346,15135,8.8,80.95,872.88,61.77,-28.25,1
REG-FLT-001347,13114,2.36,70.04,421.04,99.93,-16.55,0
REG-FLT-001348,3636,4.78,50.25,704.71,79.64,35.73,0
REG-FLT-001349,7060,3.42,81.71,807.28,80.08,10.33,0
REG-FLT-001350,10307,4.87,72.9,433.7,93.61,15.42,0
REG-FLT-001351,4298,5.95,67.01,604.04,58.63,-30.62,0
REG-FLT-001352,8718,5.68,81.4,763.63,86.42,32.02,0
REG-FLT-001353,13828,1.94,72.37,809.83,50.08,-19.6,0
REG-FLT-001354,2604,8.68,78.79,714.22,77.04,39.7,1
REG-FLT-001355,15938,1.25,62.86,482.86,51.05,-28.6,0
REG-FLT-001356,10611,3.63,84.07,537.04,62.47,-43.58,0
REG-FLT-001357,9554,5.35,66.54,504.56,57.82,13.85,0
REG-FLT-001358,10035,5.41,84.17,626.49,79.49,4.59,0
REG-FLT-001359,4540,2.39,50.96,865.47,74.04,-28.44,1
REG-FLT-001360,1801,4.59,73.4,622.83,98.2,0.18,0
REG-FLT-001361,2476,4.23,63.07,723.56,73.38,-15.21,0
REG-FLT-001362,9788,5.25,42.62,640.59,60.81,22.27,0
REG-FLT-001363,14504,6.52,62.46,578.41,68.72,-3.14,0
REG-FLT-001364,3201,8.54,79.28,642.07,63.16,-11.94,1
REG-FLT-001365,6852,1.22,78.65,507.1,67.13,2.34,0
REG-FLT-001366,6887,8.22,93.29,755.92,60.91,40.33,1
REG-FLT-001367,17952,5.46,64.58,723.99,51.55,-20.14,0
REG-FLT-001368,621,5.49,62.15,561.26,77.55,2.48,0
REG-FLT-001369,1234,3.76,88.94,853.53,86.15,-22.83,1
REG-FLT-001370,10577,7.56,47.87,783.87,79.71,14.45,1
REG-FLT-001371,6871,2.59,42.4,612.73,99.38,37.38,0
REG-FLT-001372,1158,1.49,84.05,569.81,51.77,-23.48,0
REG-FLT-001373,10683,2.45,37.24,440.28,58.25,35.92,1
REG-FLT-001374,3322,2.34,61.04,854.81,59.6,44.89,1
REG-FLT-001375,8540,2.74,42.89,649.32,91.09,15.46,0
REG-FLT-001376,16598,6.1,32.98,421.88,58.54,38.79,1
REG-FLT-001377,17316,5.85,37.97,535.67,66.52,36.85,1
REG-FLT-001378,13747,2.71,74.05,530.16,69.55,27.49,0
REG-FLT-001379,11205,6.38,32.72,423.99,96.71,-8.63,1
REG-FLT-001380,17964,1.3,65.43,517.65,80.14,-22.76,0
REG-FLT-001381,7422,5.85,39.92,784.05,95.04,-38.88,0
REG-FLT-001382,1650,1.66,59.76,714.33,85.02,-26.63,0
REG-FLT-001383,11977,4.95,78.32,832.6,64.62,-43.82,1
REG-FLT-001384,16381,5.5,70.65,669.46,50.82,-24.18,0
REG-FLT-001385,16260,6.16,82.57,749.7,52.76,-1.9,0
REG-FLT-001386,14305,4.56,57.63,552.06,77.32,16.76,0
REG-FLT-001387,2291,4.73,69.93,769.4,62.07,-27.59,0
REG-FLT-001388,11464,2.24,81.93,656.6,78.38,-2.44,0
REG-FLT-001389,12147,1.62,66.83,748.46,59.83,-3.03,0
REG-FLT-001390,6864,6.12,50.35,423.67,57.55,37.66,0
REG-FLT-001391,17998,8.69,76.51,638.89,63.58,34.84,1
REG-FLT-001392,8573,7.39,35.31,514.3,90.09,16.62,1
REG-FLT-001393,18430,4.12,72.16,632.43,55.87,-0.7,0
REG-FLT-001394,17446,4.47,74.32,534.66,83.73,12.63,0
REG-FLT-001395,11535,7.22,85.87,874.7,76.08,35.08,1
REG-FLT-001396,13440,5.29,52.73,764.34,76.05,43.39,0
REG-FLT-001397,17856,7.89,39.95,803.03,96.12,21.08,1
REG-FLT-001398,2900,8.61,86.01,613.17,56.52,-17.66,1
REG-FLT-001399,931,3.98,50.74,445.83,65.35,-23.58,0
REG-FLT-001400,14451,1.56,67.44,778.76,50.64,42.1,0
REG-FLT-001401,15510,3.72,68.28,807.77,82.28,13.33,0
REG-FLT-001402,1964,5.16,51.24,654.83,84.88,-11.35,0
REG-FLT-001403,1544,5.93,37.76,756.82,51.16,-19.67,1
REG-FLT-001404,15730,1.51,53.75,517.11,62.41,11.0,0
REG-FLT-001405,5024,7.71,81.79,715.2,51.24,-33.57,1
REG-FLT-001406,15751,2.74,59.16,575.56,72.13,37.95,0
REG-FLT-001407,13469,4.99,49.61,841.94,98.35,39.83,1
REG-FLT-001408,4191,7.69,73.36,879.87,83.84,-33.08,1
REG-FLT-001409,11913,4.83,35.14,531.42,97.03,30.82,1
REG-FLT-001410,4237,3.58,50.56,650.43,52.28,-36.74,0
REG-FLT-001411,8907,1.5,39.21,753.6,76.49,22.62,0
REG-FLT-001412,4111,3.72,77.71,786.07,70.4,39.2,0
REG-FLT-001413,8211,6.42,49.04,495.05,88.98,-40.85,0
REG-FLT-001414,14100,7.26,55.18,789.28,63.93,-11.83,0
REG-FLT-001415,7641,2.99,78.32,452.71,75.93,28.83,0
REG-FLT-001416,7052,4.24,39.23,424.93,73.43,-10.82,0
REG-FLT-001417,9368,8.16,46.25,540.02,89.67,-24.03,1
REG-FLT-001418,7242,5.45,50.33,426.39,67.96,11.99,0
REG-FLT-001419,15328,8.67,85.6,851.26,60.51,-1.01,1
REG-FLT-001420,543,3.01,60.43,844.79,74.26,41.62,1
REG-FLT-001421,4223,4.65,68.04,584.86,50.63,0.95,0
REG-FLT-001422,1508,5.12,89.69,877.26,55.8,26.19,1
REG-FLT-001423,17535,5.91,81.18,718.32,95.78,-27.0,0
REG-FLT-001424,15802,8.43,47.03,827.69,79.6,6.51,1
REG-FLT-001425,11755,6.51,34.37,630.76,92.28,5.0,1
REG-FLT-001426,5908,6.22,48.71,794.39,65.92,41.54,0
REG-FLT-001427,13152,3.09,81.85,442.69,90.32,36.31,0
REG-FLT-001428,4584,1.33,55.69,560.97,55.22,30.72,0
REG-FLT-001429,6768,1.22,83.47,637.9,69.68,-20.74,0
REG-FLT-001430,10131,7.15,91.96,791.99,79.84,13.09,0
REG-FLT-001431,6127,5.65,74.49,710.66,70.73,44.95,0
REG-FLT-001432,10334,1.22,34.94,668.3,94.84,-26.51,1
REG-FLT-001433,14366,8.46,53.98,792.65,58.58,21.0,1
REG-FLT-001434,9626,2.99,64.78,448.88,97.5,-1.31,0
REG-FLT-001435,14098,5.84,36.92,467.58,56.74,11.63,1
REG-FLT-001436,14540,3.81,75.96,695.66,62.14,-43.19,0
REG-FLT-001437,18475,5.49,78.22,794.22,67.94,26.05,0
REG-FLT-001438,14422,6.34,86.06,550.07,98.31,24.26,0
REG-FLT-001439,6834,2.44,40.52,799.0,74.28,38.38,0
REG-FLT-001440,3180,5.67,69.78,549.04,54.98,16.32,0
REG-FLT-001441,13243,2.35,52.16,812.82,66.3,-39.48,0
REG-FLT-001442,12567,7.14,71.71,743.02,97.11,-29.81,0
REG-FLT-001443,12309,6.25,72.27,420.2,53.55,-34.49,0
REG-FLT-001444,7299,1.83,54.15,453.84,60.33,-26.89,0
REG-FLT-001445,18062,3.77,61.11,533.64,61.86,-41.23,0
REG-FLT-001446,16296,2.76,54.5,853.46,71.47,22.73,1
REG-FLT-001447,8828,1.33,32.36,489.08,82.2,1.08,1
REG-FLT-001448,10648,4.05,89.65,771.56,80.34,-36.29,0
REG-FLT-001449,8074,6.16,88.71,784.48,91.3,-13.7,0
REG-FLT-001450,11086,8.06,58.71,532.91,64.37,24.71,1
REG-FLT-001451,18269,6.88,49.97,524.6,55.29,-32.03,0
REG-FLT-001452,3162,7.67,90.7,840.54,56.32,-1.95,1
REG-FLT-001453,6624,5.05,73.88,590.3,71.8,38.09,0
REG-FLT-001454,9031,8.88,89.85,638.47,64.69,13.78,1
REG-FLT-001455,6365,2.72,50.14,744.56,83.43,19.12,0
REG-FLT-001456,2845,4.97,39.96,724.49,88.63,12.86,0
REG-FLT-001457,15322,4.87,46.5,461.21,66.29,10.32,0
REG-FLT-001458,6010,7.39,61.72,650.52,62.9,40.74,0
REG-FLT-001459,7479,5.94,83.11,756.33,79.02,-17.04,0
REG-FLT-001460,7639,5.83,59.76,696.05,90.33,18.24,0
REG-FLT-001461,10367,4.6,64.62,669.14,96.69,-26.08,0
REG-FLT-001462,13562,3.93,55.86,857.28,82.83,10.59,1
REG-FLT-001463,15536,3.48,36.97,451.63,91.43,-14.27,1
REG-FLT-001464,15148,5.26,63.68,443.82,56.09,18.14,0
REG-FLT-001465,1656,8.62,50.73,464.08,68.44,28.4,1
REG-FLT-001466,9232,2.03,54.32,748.92,91.08,-17.84,0
REG-FLT-001467,9758,3.63,80.21,686.85,80.94,27.56,0
REG-FLT-001468,3257,6.49,62.32,525.65,63.74,27.18,0
REG-FLT-001469,1765,2.5,41.53,566.03,79.12,36.24,0
REG-FLT-001470,9290,7.24,81.89,738.26,65.72,34.27,0
REG-FLT-001471,15467,5.64,79.92,817.68,88.59,35.23,0
REG-FLT-001472,11264,6.04,84.14,436.34,91.52,-31.87,0
REG-FLT-001473,2455,4.6,33.68,461.45,71.74,-20.43,1
REG-FLT-001474,12950,3.72,37.72,420.32,92.21,4.05,1
REG-FLT-001475,17463,7.06,73.51,720.49,63.76,10.57,0
REG-FLT-001476,16997,7.71,60.05,473.53,70.71,31.6,1
REG-FLT-001477,14389,4.28,35.88,455.56,69.51,-13.89,1
REG-FLT-001478,10553,7.21,72.14,431.75,52.47,-44.6,0
REG-FLT-001479,13977,5.32,74.74,824.59,65.38,-25.36,1
REG-FLT-001480,3248,1.56,84.42,554.11,58.61,-35.45,0
REG-FLT-001481,4171,8.01,32.7,470.7,51.43,-40.19,1
REG-FLT-001482,9429,8.44,38.52,485.13,90.08,8.33,1
REG-FLT-001483,4155,2.61,87.81,556.71,68.19,5.01,0
REG-FLT-001484,2057,3.79,79.55,569.95,93.24,-7.51,0
REG-FLT-001485,17341,5.71,37.76,421.29,93.71,43.74,1
REG-FLT-001486,4493,6.24,86.63,777.17,90.07,24.92,0
REG-FLT-001487,8348,1.99,54.73,811.77,67.03,3.99,0
REG-FLT-001488,10920,8.16,42.74,841.61,96.58,-21.22,1
REG-FLT-001489,10656,7.61,38.06,709.45,55.0,-33.61,1
REG-FLT-001490,7651,1.56,52.21,527.59,81.34,-7.1,0
REG-FLT-001491,8942,1.74,46.97,647.02,51.46,20.02,0
REG-FLT-001492,9103,3.53,61.76,782.7,59.58,-1.41,0
REG-FLT-001493,693,6.57,85.62,477.29,72.73,-31.64,0
REG-FLT-001494,9533,8.7,72.95,518.4,90.36,-30.08,1
REG-FLT-001495,5827,3.05,54.61,634.49,89.34,1.14,0
REG-FLT-001496,9221,3.87,74.63,521.76,79.48,-20.8,0
REG-FLT-001497,16013,8.9,75.89,860.4,87.96,11.66,1
REG-FLT-001498,9373,6.82,71.74,646.36,65.96,21.13,0
REG-FLT-001499,15316,5.05,48.31,736.69,70.08,-40.14,0
REG-FLT-001500,17216,5.95,60.34,673.84,55.98,36.35,0
REG-FLT-001501,2686,3.11,65.09,708.85,76.66,30.72,0
REG-FLT-001502,18256,7.94,83.99,776.17,68.22,31.04,1
REG-FLT-001503,4472,5.5,53.37,761.1,71.58,-35.61,0
REG-FLT-001504,8962,5.21,53.04,493.31,78.92,15.93,0
REG-FLT-001505,8979,1.64,69.91,615.87,94.55,21.08,0
REG-FLT-001506,13279,7.43,33.38,519.62,61.25,-43.83,1
REG-FLT-001507,508,2.8,54.19,564.48,79.15,-41.66,0
REG-FLT-001508,6127,4.03,77.4,547.84,89.32,35.91,0
REG-FLT-001509,13056,6.26,58.24,572.28,93.93,-1.6,0
REG-FLT-001510,3292,1.64,56.48,601.91,67.06,38.5,0
REG-FLT-001511,12382,5.73,88.37,842.59,75.66,-23.61,1
REG-FLT-001512,13484,6.62,69.53,713.72,93.54,-15.41,0
REG-FLT-001513,499,5.21,78.59,610.66,62.2,-12.55,0
REG-FLT-001514,264,5.39,85.64,426.04,50.19,-32.83,0
REG-FLT-001515,2527,7.29,83.4,751.25,84.64,7.54,0
REG-FLT-001516,2043,2.45,71.13,601.54,82.33,-35.45,0
REG-FLT-001517,771,8.83,48.92,760.14,84.83,-0.47,1
REG-FLT-001518,1656,2.35,82.64,676.74,61.93,26.36,0
REG-FLT-001519,10522,7.55,37.2,433.68,74.16,43.75,1
REG-FLT-001520,4544,3.7,84.62,688.25,51.41,-18.85,0
REG-FLT-001521,861,6.53,60.76,855.15,94.91,-39.86,1
REG-FLT-001522,939,7.58,69.06,507.25,73.04,-6.54,1
REG-FLT-001523,16291,6.29,83.48,514.62,95.87,33.33,0
REG-FLT-001524,1932,5.06,69.02,682.64,77.36,-9.6,0
REG-FLT-001525,829,4.15,71.49,572.85,90.81,-1.68,0
REG-FLT-001526,3796,8.88,65.36,803.06,96.88,-15.82,1
REG-FLT-001527,14788,6.77,61.21,822.44,98.99,15.5,1
REG-FLT-001528,1917,6.85,59.22,760.44,54.82,-16.88,0
REG-FLT-001529,6762,7.34,87.76,560.75,54.48,5.03,0
REG-FLT-001530,5357,3.78,61.35,505.63,50.25,-17.29,0
REG-FLT-001531,16396,3.15,50.34,610.48,86.23,-30.54,0
REG-FLT-001532,6830,2.1,46.52,775.94,68.73,13.45,0
REG-FLT-001533,7421,6.66,81.65,839.84,94.39,22.86,1
REG-FLT-001534,1521,4.1,61.21,820.64,83.5,4.78,1
REG-FLT-001535,12484,6.49,90.63,682.1,59.98,32.98,0
REG-FLT-001536,15093,7.18,77.62,477.13,63.31,-42.2,0
REG-FLT-001537,1327,8.75,91.2,773.52,84.85,38.65,1
REG-FLT-001538,6784,3.52,56.64,601.72,85.1,-25.96,0
REG-FLT-001539,1435,4.25,71.28,513.7,72.08,-28.52,0
REG-FLT-001540,10466,4.19,43.77,822.49,63.38,19.9,1
REG-FLT-001541,17461,6.94,82.14,730.26,56.38,26.39,0
REG-FLT-001542,16750,6.69,92.03,713.31,71.31,-24.2,0
REG-FLT-001543,15895,3.46,53.49,496.13,76.51,42.23,0
REG-FLT-001544,14958,2.99,40.82,649.06,59.14,18.67,0
REG-FLT-001545,17586,6.99,76.26,490.49,90.21,-8.28,0
REG-FLT-001546,3408,6.95,66.25,613.39,78.23,-9.68,0
REG-FLT-001547,14029,1.76,38.25,511.91,67.83,-7.94,0
REG-FLT-001548,13350,3.75,48.13,671.53,92.03,2.9,0
REG-FLT-001549,2793,7.43,47.14,458.54,80.58,20.46,0
REG-FLT-001550,3694,5.93,88.0,730.72,53.33,20.08,0
REG-FLT-001551,10264,6.34,41.44,695.78,81.79,-27.48,0
REG-FLT-001552,13380,6.49,81.51,839.04,85.93,-21.44,1
REG-FLT-001553,8058,2.99,82.84,527.62,84.89,3.54,0
REG-FLT-001554,11898,7.19,34.46,553.43,52.75,-38.42,1
REG-FLT-001555,2990,4.15,45.13,461.8,85.44,13.18,0
REG-FLT-001556,2877,8.85,41.22,454.69,66.1,39.74,1
REG-FLT-001557,414,7.54,93.01,673.9,60.21,8.3,1
REG-FLT-001558,6337,2.62,74.85,770.06,96.47,-22.96,0
REG-FLT-001559,1181,3.5,88.67,821.88,69.9,2.17,1
REG-FLT-001560,8288,8.09,59.85,634.71,59.18,22.3,1
REG-FLT-001561,17017,6.06,81.36,483.91,77.7,-19.42,0
REG-FLT-001562,8123,3.34,50.67,624.79,52.04,27.51,0
REG-FLT-001563,1525,5.24,38.84,653.08,93.55,-2.83,0
REG-FLT-001564,1881,6.97,60.17,755.66,82.98,-21.93,0
REG-FLT-001565,10257,5.1,49.67,754.56,60.81,-14.91,0
REG-FLT-001566,433,7.69,50.94,730.33,91.21,-4.62,1
REG-FLT-001567,7005,8.77,66.88,559.49,69.37,-32.99,1
REG-FLT-001568,362,2.86,51.39,527.72,78.14,28.41,0
REG-FLT-001569,478,4.8,59.64,430.11,83.35,1.78,0
REG-FLT-001570,10386,8.16,49.22,517.48,73.08,6.18,1
REG-FLT-001571,5711,6.41,49.74,721.87,83.82,36.41,0
REG-FLT-001572,13031,8.49,37.09,851.21,82.41,23.13,1
REG-FLT-001573,6700,2.63,35.61,529.88,73.54,33.59,1
REG-FLT-001574,14769,4.29,65.47,483.19,68.79,12.64,0
REG-FLT-001575,3082,6.5,51.87,804.94,51.89,-35.29,0
REG-FLT-001576,14368,2.74,72.99,516.41,66.07,27.37,0
REG-FLT-001577,16389,2.39,68.3,685.88,83.48,41.5,0
REG-FLT-001578,3480,1.87,66.44,452.93,52.56,-23.76,0
REG-FLT-001579,11299,5.22,57.9,588.86,60.76,36.53,0
REG-FLT-001580,11767,3.77,76.24,446.55,58.45,-28.9,0
REG-FLT-001581,6092,1.39,67.54,588.6,72.64,-27.27,0
REG-FLT-001582,8272,6.11,61.58,619.56,89.83,32.16,0
REG-FLT-001583,1720,1.48,82.64,798.03,62.05,-10.73,0
REG-FLT-001584,2927,3.94,75.67,683.21,87.22,-8.78,0
REG-FLT-001585,4781,7.87,47.72,806.48,97.9,22.21,1
REG-FLT-001586,13969,7.31,45.64,459.19,66.91,-34.4,0
REG-FLT-001587,14680,4.1,54.81,716.22,99.21,3.49,0
REG-FLT-001588,1634,8.65,70.99,481.02,52.33,19.1,1
REG-FLT-001589,17000,4.53,46.22,424.79,76.47,12.94,0
REG-FLT-001590,3316,7.71,92.58,605.03,53.22,12.11,1
REG-FLT-001591,5157,2.18,37.9,543.24,94.47,43.66,1
REG-FLT-001592,14971,5.16,50.17,799.07,74.06,39.43,0
REG-FLT-001593,15799,2.12,92.43,761.91,53.19,-26.47,0
REG-FLT-001594,917,5.94,89.1,711.41,72.02,-18.63,0
REG-FLT-001595,11364,6.34,92.99,532.01,79.26,44.82,0
REG-FLT-001596,16597,2.06,69.9,609.98,53.19,17.57,0
REG-FLT-001597,5927,2.59,75.44,796.35,79.77,-9.9,0
REG-FLT-001598,5805,8.19,87.93,744.25,78.88,-23.85,1
REG-FLT-001599,6927,4.29,79.68,556.5,56.19,-44.7,0
REG-FLT-001600,16907,6.59,88.34,546.5,82.15,21.82,0
REG-FLT-001601,2463,5.72,35.53,868.49,54.77,29.25,1
REG-FLT-001602,6484,3.96,57.88,477.37,53.72,1.61,0
REG-FLT-001603,6693,6.46,85.44,591.39,60.47,18.39,0
REG-FLT-001604,16348,8.21,67.99,812.23,51.71,-37.48,1
REG-FLT-001605,2262,6.42,54.09,756.97,93.71,-7.03,0
REG-FLT-001606,4473,6.41,81.06,816.17,99.24,-16.89,0
REG-FLT-001607,16197,8.24,41.33,532.43,76.77,-3.18,1
REG-FLT-001608,3551,2.48,91.35,669.79,82.76,-0.21,0
REG-FLT-001609,17033,7.67,35.65,701.72,52.18,36.0,1
REG-FLT-001610,13996,6.91,36.74,632.7,54.65,-42.55,1
REG-FLT-001611,4280,7.71,66.78,691.55,71.51,-9.37,1
REG-FLT-001612,12302,1.37,49.15,558.5,86.22,42.67,0
REG-FLT-001613,4180,3.84,52.51,668.97,61.92,28.48,0
REG-FLT-001614,4684,7.42,89.18,801.35,70.29,5.1,0
REG-FLT-001615,3729,2.28,72.78,684.56,74.75,37.09,0
REG-FLT-001616,9818,1.52,60.83,551.32,66.33,2.31,0
REG-FLT-001617,16272,5.65,52.61,773.52,94.79,-29.36,0
REG-FLT-001618,1008,1.27,75.66,692.53,90.95,27.54,0
REG-FLT-001619,13442,4.75,91.05,499.16,80.23,-31.9,0
REG-FLT-001620,15677,1.61,60.38,868.38,59.41,43.9,1
REG-FLT-001621,11417,1.3,84.41,452.51,79.89,-39.92,0
REG-FLT-001622,10540,4.95,89.82,801.64,75.69,-5.45,0
REG-FLT-001623,8762,8.16,41.46,487.86,83.9,-8.43,1
REG-FLT-001624,18105,8.03,51.67,538.21,78.5,-43.4,1
REG-FLT-001625,10541,2.64,71.96,663.03,82.91,-2.18,0
REG-FLT-001626,2102,8.71,74.34,617.07,83.34,-25.97,1
REG-FLT-001627,14113,2.26,47.29,442.04,61.01,-28.95,0
REG-FLT-001628,13202,5.8,75.36,497.48,86.57,17.76,0
REG-FLT-001629,7780,4.5,93.21,460.26,63.9,-24.2,0
REG-FLT-001630,11056,4.24,86.22,489.24,79.12,43.04,0
REG-FLT-001631,3408,6.13,91.77,872.05,61.17,-16.65,1
REG-FLT-001632,13182,5.99,74.68,502.34,91.22,-27.65,0
REG-FLT-001633,16579,1.39,35.07,623.32,63.59,-6.85,1
REG-FLT-001634,13845,1.64,43.83,640.56,51.65,10.51,0
REG-FLT-001635,17230,3.22,89.17,431.21,58.56,-17.01,0
REG-FLT-001636,5052,7.91,66.53,556.61,66.02,24.4,1
REG-FLT-001637,10623,6.06,68.85,463.67,55.46,40.41,0
REG-FLT-001638,15449,7.31,85.97,528.25,54.12,-5.28,0
REG-FLT-001639,6670,6.66,42.52,811.57,92.44,-41.58,0
REG-FLT-001640,8599,6.64,68.13,590.11,90.35,-8.33,0
REG-FLT-001641,18233,5.58,58.6,819.15,97.65,11.34,0
REG-FLT-001642,3235,8.69,83.66,791.27,74.98,-13.58,1
REG-FLT-001643,4776,6.95,87.77,570.6,72.93,-32.66,0
